  d    A*(h1)    total h1
---  --------  ----------
  2      7            100
  4     13.33         100
  6     23.91         100
  8     48.45         100
 10    109.41         100
 12    266.83         100
 14    671.11         100
 16   1651.67         100
 18   4173.62         100
 20  10510.4          100
 22  25949.4          100
 24  64140            100
 
  d    A*(h2)    total h2
---  --------  ----------
  2      6.98         100
  4     12.97         100
  6     23.08         100
  8     37.96         100
 10     78.06         100
 12    145.57         100
 14    307.41         100
 16    521.96         100
 18   1016.04         100
 20   1903.05         100
 22   3274.78         100
 24   4420.45         100
 
  d      IDS    total ids
---  -------  -----------
  2    13.78          100
  4    63.82          100
  6   255.9           100
  8   965.78          100
 10  2218.06          100
 12  4263.9           100
